"response","var1","var2"
0,0,-0.417914175
0,1,-0.409875788
2,1,-0.0535918329560327
1,1,0.4481534
0,0,0.267748679
0,1,-1.266247142
0,1,-0.143458898
0,1,-0.163586578
0,1,0.316228036
0,1,-0.800088582134274
3,0,-0.72116144
7,0,-0.416337114
1,0,-1.008181881
0,1,-0.70183965
3,0,-1.109223763
1,1,-0.44416579564125
0,0,0.037047054
0,0,-0.408375668
0,1,-0.436817677
0,0,-0.424916816051555
0,1,-0.395709194
0,0,-0.498290698
0,1,-0.407878962
0,1,-0.874782573
0,1,-0.747713196
0,0,-0.365715576
0,1,0.023916489
0,0,-0.783242915
0,0,-0.525799775
0,0,-0.839502015
3,1,0.023916489
0,0,-0.139518297
1,1,-0.134469858
0,1,0.271041318
0,1,0.448822781
0,0,-0.843773224
0,0,-0.712480478
0,1,-0.6244899572165
0,0,-0.505905882
0,1,0.080785951
0,1,-0.62022967
1,0,-0.455073967
0,0,-0.282883692
1,1,0.550610622
0,1,0.075485825
0,1,-0.875726803
1,0,-0.553705304
1,0,-0.282949057
0,0,-0.648314364
0,0,-1.016219476
0,0,-0.527224693334982
0,0,-0.77790608
0,0,0.089769536
0,0,-0.520805963
0,0,-0.516530809
0,0,-0.650710393
0,1,-0.68800158
0,1,-0.38348814
0,1,-0.943630252
0,1,-0.575481170836061
0,1,-0.710304791
0,0,-0.136248574
0,1,-0.0257330032974575
0,1,0.045216272
0,1,-0.482954732
